V, Probability, Prim Time (s), Kruskal Time (s) 
100,0.3,0.00453657,0.0010866
200,0.3,0.0296803,0.00758487
400,0.3,0.199212,0.0620034
800,0.3,1.35168,0.501737
1600,0.3,9.83492,4.2552
3200,0.3,73.4948,34.4519

