V, Probability, Prim Time (s), Kruskal Time (s) 
100,0.2,0.00471614,0.000846413
200,0.2,0.0302145,0.00541781
400,0.2,0.201047,0.0417012
800,0.2,1.34224,0.340479
1600,0.2,9.89903,2.93474
3200,0.2,77.4911,23.282
